name,availabilityVendorId,ordersVendorId
"Tabeay, Tagammoa 5 - Hay 3",765421,60811
"Syria Market, Tagammoa 5 - Banafseg 9,10,11,12",693697,44288
"Syria Market, New Maadi - Al Sarayaat",693698,44259
"Sweet Art, Port Fuad",713963,55574
"Swan Mart, Zahraa El Maadi - Ashgar Darna",740728,51161
"Swan Mart, Dokki - Oman Square",733164,43694
"Supermarket Willeam, Shobra - Al Khalafawy",648730,15878
"SuperMarket Food Court, Al Teraa",692764,18891
"SuperMarket El Kholafaa El Rashedeen, Heliopolis - Mahkama Square 2",752457,57291
"Supermarket Blue Apple, 6th Of October - Cemetery",691465,18755
"Superdrug Pharmacy, Heliopolis - El Sabaa Omarat 3",757560,59868
"SuperDeli, Masaken Sheraton",706634,27788
"Super Market MAKKAH, Dokki - Moustafa Mahmoud",787857,64690
"SUPER MARKET CASH& CARRY, 6th of October - Masged El Shorta",781282,63568
"Super Market and Etara Abu Hamada, Mostashfa El Sadr Area",746495,52015
"Super Market 5er Baladna, Helwan El Balad",673521,16701
"Super Mario, Madinaty - Buildings Area (B11)",757083,59831
"Super Drug Pharmacy, Heliopolis - Baron",717705,31920
"Sunny, Zamalek - 26 July",679162,17252
"Sunny, El Sheikh Zayed - Beverly Hills",679273,17253
"Sultan HyperMarket, Ahmed Maher",728825,41618
"Sukoon Pharmacy, Hadayek El Ahram - Area T",764055,60826
"Stores Market, Tagammoa 5 - Banafseg 9,10,11,12",769590,61250
"Store X Market, Mokattam - Easy Sport Club",784651,63947
"Star Pharmacy, Heliopolis - El Khalifa El Maa'moun",760827,60377
"Star Market, 6th of October - Palm Hills",773296,61689
"Star Market, 6th of October - Palm Hills",711860,25589
"STANLY PHARMACY, Roushdy",787655,64956
"ST Market, Semouha - Medan El Gama'a",691000,18742
"ST Market, Ibrahimia",691001,18741
"SQUARE, Dokki - El Thawra Square",786598,64261
"Square Mart, Glim - 1",785711,64058
"Square Market, 6th of October - Wahet El Mohandsen",694774,19062
"Spinneys, Tanta",691247,18809
"Spinneys, Tagammoa 5 - AUC Pirl",678726,17466
"Spinneys, Swyl lake",726849,41123
"Spinneys, Sheikh Zayed City - Estrada",735018,44560
"Spinneys, Obour",715329,29405
"Spinneys, Nozha",747974,53429
"Spinneys, New Cairo - Enawalks",735019,44559
"Spinneys, Nasr city - Youssef Abbas",678722,17952
"Spinneys, Mokattam - El Nafora Square",678721,17457
"Spinneys, Mohandsein (Syria Street)",691248,18897
"Spinneys, Mohandesin - Jazerat El Arab",703948,20079
"Spinneys, Maxim Mall Tagammoa 5",678717,17465
"Spinneys, Marina 5",708428,22607
"Spinneys, Mansoura",716182,60269
"Spinneys, Mall of Arabia",678716,17461
"Spinneys, Maadi Grand Mall, Street 250, Maadi as Sarayat Al Gharbeyah,",678720,17459
"Spinneys, Kafr Nassar، 46 Al Haram, st",678714,17456
"Spinneys, Hub 50 Mall Zahraa Maadi",678724,17458
"Spinneys, Gleem",728695,41857
"Spinneys, El-Bostan, Sheikh Zayed City",678715,17460
"Spinneys, El Dahar, Hurghada",687571,18594
"Spinneys, Dokki",726848,40825
"Spinneys, City plaza Mall El Shorouk",678725,17463
"Spinneys, Brands Mall - El Kothar",768596,61178
"Spinneys, Ariana, Banks Center St, New Cairo 1, Cairo Governorate",678718,17464
"Spinneys, Ard El Golf",741358,49008
"Spinneys, Amwaj",708331,22541
Spinneys city Escape mall 6th of October - 4th District,678713,17462
Spinneys - Semouha - Semouha Alexandria,678719,17393
Spinneys - Nasr City 1 - El Serag Mall,678723,17943
"Spencer Market, Heliopolis - El Sabaa Omarat",652255,15872
"Souq Elgomla, El Obour - El Hay 1",773822,61758
"Souq El Saada, 6th of October - 3rd District",750294,56539
"Souq El Aasr, Mohandesin - Jazerat El Arab",770292,61329
"Souq El Aasr, Haram - Wimpy",770567,61343
"Souq El Aasr, Dokki - Mosaddak",770566,61344
"Souq Al Sadik, Nasr City - Hay 8",758343,60041
"Souq Al Saada, Semouha - Semouha Sporting Club",766073,60910
"Souq Al Saada, Nasr City - Abbas El Akkad",766093,61027
"Souq Al Saada, Mohandesin - Lebanon Square",766092,60911
"Solo Supermarket, El Obour - El Hay 6",712326,26042
Soal Farns,606139,51318
"Sky Market, El Obour - Golf Area",748185,54410
"Singer Sons, Madinaty - Work Shops",751271,57292
"Singer Sons, El Obour - El Hay 5",753201,57394
"Silah Pharmacy, Saad Zaghloul",718713,32843
"Sign Up, Agouza",608280,15869
"Shrouk Store, El Shorouk - 8th District",668976,16264
"Shousha Pharmacy, Sporting",767394,61108
"Shopping Market, Zahraa El Maadi - El Me'arag El Ouloy",719731,34454
"SHFA Pharmacy,  Nasr City - Mostafa El Nahaas 2",755555,59174
"Sherif Pharmacy, Mokattam - El Mafarik-1",753521,57587
"Sherif Pharmacy, Mokattam - El Hadba El Wosta",743986,50577
"Sherif Pharmacies, Nasr City - Mostafa El Nahaas",741503,48739
"SHERIF GEBREEL PHARMACY, New Heliopolis",788860,64878
"Shereen Haggag InstaPharmacy, Madinaty - Work Shops",746899,52637
"Shereen Asaad Pharmacy, Heliopolis - Maqreezi",744091,50580
"SHEFA PHARMACY, Helwan",789052,64698
"Shayboub Market, Lauran",673997,16844
"Shams Pharmacies, 6th of October - El Hay El Motamyez",784072,63854
"Shams Pharmacies, 6th of October - El Fardous",781801,63603
"Sham Pharmacies, Mohandesin - Lebanon Square",788846,65362
"Sham Pharmacies, Haram - Talbiya 2",788847,64689
"Sham Pharmacies, Haram - El Ahram",788848,64693
"ShAm PHARMACIES, Faisal - El Ashreen",788707,64696
"Sham Pets, 6th of October - 3rd District",780934,63487
"Shajarat AlDurr Pharmacy, Mostashfayat El Gama'a",748932,54487
"Shahin Pharmacy, El Hadara",790982,65748
"Shahin Pharmacies, Saint Teresa Hospital",711452,25544
"Shahin Pharmacies, New Miami",711451,25286
"Shaheen Market and Dairy, Mokattam - El Mafarik-1",772002,61503
"Seif Pharmacies, Zahraa El Maadi - El Morshedy",716205,30362
"Seif Pharmacies, Tagammoa 5 - Hay 1",718117,32191
"Seif Pharmacies, Raml Station",720812,35510
"Seif Pharmacies, Nasr City - Makram Ebeid 2",718113,32186
"Seif Pharmacies, Maadi Old 2",720813,35411
"Seif Pharmacies, Heliopolis - Hegaz Square",715413,30263
"Seif Pharmacies, Heliopolis - Baron",718114,32210
"Seif Pharmacies, Giza - El Bahr El Azzam",716199,30428
"Seif Pharmacies, Garden City",715475,30005
"Seif Pharmacies, El Shorouk - 5th District",715473,30396
"Seif Pharmacies, El Sheikh Zayed - El Hay 6",718116,32189
"Seif Pharmacies, El Obour - Golf Area",715472,30484
"Seif Pharmacies, Downtown - Ahmed Helmy",718112,32192
"Seif Pharmacies, Al Manial",718115,32243
"Seif Pharmacies, Agouza",720811,35345
"Seif Pharmacies, 6th of October - 1st District",718111,32188
"Seif Pharmacies,  Tagammoa 5 - Hay 1",757053,59734
"See Elsayed Market, El Seyof Qebly",787681,64757
"Sarhan Market, Mohandesin - Mit Okba",740050,48325
"Saraya Care Pharmacies, Tagammoa 5 - North Investors-2",782113,63639
"Saraya Care Pharmacies, Tagammoa 5 - North Investors Extension",724305,38995
"SARAYA CARE PHARMACIES, Tagammoa 5 - Hay 1",782114,63640
"Saraya Care Pharmacies, Tagammoa 5 - Hay 1",724261,39008
"Saraya Care Pharmacies, Madinaty - Buildings Area (B2)",782066,63638
"Saraya Care Pharmacies, El Rehab City 1",724304,39404
"Sarai Market,Semouha - Medan El Gama'a",614247,12341
"Sarai Market,Kafr Abdo",614242,21788
"Sarai Market, Tagammoa 5 - North Investors",614246,31022
